[ 2013-09-06T17:46:33+08:00 ] /xnfy520_yaomai/Public/js/jqueryUi/images/ui-bg_flat_75_ffffff_40x100.png | ERR: (ThinkException) 非法操作js
[ 2013-09-06T17:46:39+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:47:17+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:48:01+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:48:47+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:50:01+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:50:40+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:50:48+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:51:09+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:51:11+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:51:14+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:51:20+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:51:23+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:51:24+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:51:30+08:00 ] /xnfy520_yaomai/admin/Tpl/default/Public/css/OrderList.css | ERR: (ThinkException) 无法加载模块admin
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ route_check ] --START--
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run CheckRoute Behavior [ RunTime:0.000418s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ route_check ] --END-- [ RunTime:0.000473s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000339s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000389s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.005555s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001942s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.000289s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001652s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000421s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001480s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000177s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001386s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000269s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002143s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000219s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000199s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001950s ]
